iter	Passed	Remaining
0	211	211260
1	212	105991
2	213	70829
3	214	53465
4	216	42987
5	217	35975
6	218	30988
7	219	27198
8	220	24292
9	221	21969
10	222	20031
11	223	18424
12	225	17087
13	226	15936
14	228	14980
15	229	14096
16	230	13339
17	231	12629
18	232	12008
19	233	11445
20	234	10920
21	235	10452
22	236	10051
23	237	9659
24	238	9298
25	239	8972
26	241	8689
27	253	8813
28	255	8538
29	256	8282
30	257	8042
31	258	7808
32	258	7589
33	259	7386
34	261	7196
35	261	7012
36	262	6842
37	264	6684
38	264	6527
39	265	6378
40	267	6247
41	268	6114
42	268	5984
43	269	5864
44	271	5753
45	271	5637
46	272	5528
47	273	5427
48	274	5331
49	275	5236
50	276	5147
51	277	5058
52	278	4973
53	279	4892
54	280	4815
55	281	4746
56	282	4670
57	283	4597
58	284	4537
59	285	4472
60	286	4408
61	287	4345
62	288	4287
63	289	4229
64	289	4169
65	290	4112
66	291	4058
67	292	4008
68	293	3958
69	294	3909
70	295	3864
71	296	3820
72	297	3777
73	298	3738
74	312	3853
75	313	3810
76	314	3771
77	315	3732
78	316	3693
79	317	3652
80	318	3615
81	319	3576
82	319	3535
83	320	3499
84	321	3463
85	322	3428
86	323	3393
87	324	3360
88	325	3327
89	326	3296
90	326	3265
91	327	3232
92	328	3203
93	335	3237
94	342	3259
95	342	3229
96	343	3200
97	345	3176
98	345	3148
99	346	3120
100	347	3092
101	348	3064
102	348	3038
103	349	3013
104	350	2988
105	351	2964
106	352	2939
107	353	2918
108	354	2895
109	355	2874
110	356	2852
111	356	2830
112	358	2811
113	362	2815
114	371	2861
115	372	2840
116	373	2820
117	375	2803
118	375	2783
119	376	2763
120	377	2742
121	378	2721
122	378	2701
123	379	2683
124	380	2665
125	381	2646
126	382	2628
127	383	2610
128	384	2592
129	384	2574
130	385	2558
131	386	2542
132	387	2525
133	388	2508
134	389	2494
135	390	2480
136	391	2463
137	391	2448
138	392	2432
139	393	2416
140	394	2401
141	394	2385
142	395	2372
143	396	2359
144	398	2346
145	398	2333
146	400	2322
147	401	2309
148	402	2297
149	403	2283
150	415	2338
151	417	2327
152	418	2315
153	421	2313
154	431	2354
155	432	2342
156	434	2330
157	435	2319
158	436	2308
159	437	2295
160	437	2281
161	438	2268
162	439	2255
163	440	2243
164	441	2232
165	441	2219
166	442	2208
167	443	2197
168	444	2185
169	445	2174
170	446	2163
171	447	2152
172	448	2142
173	449	2132
174	453	2136
175	461	2160
176	462	2150
177	463	2139
178	464	2129
179	465	2121
180	466	2110
181	467	2101
182	468	2091
183	469	2080
184	470	2071
185	470	2060
186	471	2050
187	472	2041
188	473	2030
189	474	2021
190	474	2011
191	475	2001
192	476	1991
193	477	1982
194	477	1973
195	479	1965
196	480	1957
197	481	1949
198	482	1941
199	482	1931
200	483	1922
201	484	1914
202	485	1904
203	486	1897
204	487	1889
205	488	1881
206	488	1873
207	489	1865
208	490	1857
209	491	1849
210	492	1841
211	493	1833
212	494	1827
213	495	1819
214	496	1813
215	497	1806
216	498	1800
217	499	1793
218	500	1786
219	502	1780
220	503	1773
221	504	1767
222	505	1759
223	506	1753
224	507	1746
225	507	1738
226	509	1734
227	510	1726
228	510	1720
229	511	1713
230	512	1705
231	513	1698
232	514	1692
233	514	1685
234	515	1678
235	516	1670
236	516	1663
237	517	1655
238	517	1648
239	518	1641
240	518	1633
241	519	1626
242	519	1619
243	520	1613
244	521	1606
245	521	1599
246	522	1593
247	523	1588
248	524	1582
249	525	1576
250	526	1569
251	526	1563
252	527	1557
253	528	1551
254	528	1545
255	529	1538
256	530	1532
257	530	1526
258	531	1520
259	532	1515
260	533	1509
261	533	1503
262	534	1497
263	535	1492
264	536	1486
265	536	1481
266	537	1476
267	543	1485
268	551	1499
269	552	1494
270	554	1490
271	554	1485
272	555	1479
273	556	1474
274	557	1469
275	558	1464
276	558	1458
277	559	1453
278	560	1448
279	561	1443
280	561	1437
281	562	1432
282	563	1427
283	563	1421
284	564	1416
285	565	1411
286	566	1406
287	566	1401
288	567	1396
289	571	1399
290	581	1416
291	582	1412
292	583	1409
293	584	1404
294	585	1399
295	586	1394
296	587	1390
297	588	1385
298	588	1380
299	589	1376
300	590	1371
301	591	1366
302	592	1362
303	593	1358
304	594	1353
305	595	1349
306	595	1344
307	596	1340
308	597	1336
309	598	1332
310	599	1328
311	600	1324
312	601	1319
313	602	1315
314	602	1311
315	603	1307
316	604	1302
317	605	1298
318	606	1294
319	607	1290
320	608	1286
321	608	1282
322	609	1277
323	610	1273
324	611	1269
325	612	1265
326	618	1272
327	625	1280
328	626	1276
329	626	1272
330	628	1269
331	629	1265
332	629	1261
333	630	1257
334	631	1253
335	632	1249
336	633	1245
337	633	1241
338	634	1237
339	635	1233
340	636	1230
341	637	1226
342	638	1222
343	638	1218
344	639	1214
345	640	1210
346	641	1206
347	641	1202
348	643	1199
349	643	1195
350	644	1191
351	645	1188
352	646	1184
353	646	1180
354	647	1176
355	648	1173
356	649	1169
357	650	1165
358	650	1162
359	651	1158
360	652	1155
361	653	1151
362	654	1148
363	655	1144
364	656	1141
365	657	1138
366	664	1145
367	670	1152
368	671	1148
369	685	1167
370	687	1164
371	687	1161
372	698	1173
373	701	1174
374	702	1171
375	712	1181
376	717	1186
377	719	1183
378	720	1179
379	720	1176
380	721	1172
381	722	1169
382	723	1166
383	724	1162
384	725	1159
385	726	1156
386	727	1152
387	728	1149
388	729	1146
389	730	1143
390	731	1139
391	740	1149
392	744	1150
393	745	1146
394	746	1143
395	755	1152
396	760	1154
397	761	1151
398	762	1148
399	775	1162
400	775	1158
401	776	1155
402	777	1151
403	782	1154
404	794	1167
405	803	1175
406	817	1191
407	839	1217
408	855	1236
409	859	1236
410	868	1245
411	881	1258
412	882	1254
413	883	1250
414	891	1256
415	906	1272
416	908	1270
417	909	1266
418	910	1262
419	911	1258
420	912	1254
421	912	1250
422	913	1246
423	914	1242
424	925	1252
425	927	1249
426	927	1244
427	929	1241
428	930	1238
429	930	1234
430	931	1230
431	932	1225
432	932	1221
433	933	1217
434	934	1213
435	934	1209
436	935	1205
437	935	1200
438	936	1196
439	937	1192
440	937	1188
441	938	1184
442	938	1180
443	939	1176
444	940	1172
445	940	1168
446	941	1164
447	942	1160
448	942	1156
449	949	1160
450	954	1162
451	955	1158
452	956	1154
453	956	1150
454	959	1148
455	970	1157
456	971	1153
457	972	1150
458	977	1152
459	983	1155
460	984	1151
461	985	1147
462	986	1143
463	987	1140
464	997	1147
465	999	1145
466	1000	1141
467	1000	1137
468	1001	1134
469	1016	1145
470	1017	1142
471	1017	1138
472	1019	1135
473	1019	1131
474	1020	1128
475	1021	1124
476	1021	1120
477	1022	1116
478	1023	1113
479	1024	1109
480	1025	1106
481	1025	1102
482	1026	1098
483	1027	1095
484	1028	1091
485	1029	1088
486	1029	1084
487	1030	1081
488	1031	1077
489	1032	1074
490	1033	1071
491	1034	1068
492	1035	1064
493	1036	1061
494	1036	1057
495	1037	1054
496	1038	1051
497	1039	1047
498	1040	1044
499	1040	1040
500	1041	1037
501	1042	1033
502	1042	1030
503	1043	1027
504	1044	1023
505	1045	1020
506	1045	1017
507	1046	1013
508	1047	1010
509	1053	1012
510	1059	1013
511	1060	1010
512	1061	1007
513	1061	1003
514	1068	1005
515	1075	1008
516	1075	1005
517	1076	1001
518	1082	1002
519	1089	1005
520	1089	1001
521	1090	998
522	1091	995
523	1092	992
524	1098	993
525	1104	995
526	1105	991
527	1105	988
528	1106	985
529	1107	982
530	1108	979
531	1109	975
532	1110	972
533	1111	969
534	1111	966
535	1112	963
536	1113	959
537	1113	956
538	1114	953
539	1115	949
540	1115	946
541	1116	943
542	1117	940
543	1117	937
544	1118	933
545	1119	930
546	1120	927
547	1120	924
548	1121	921
549	1125	920
550	1133	924
551	1134	920
552	1135	917
553	1136	915
554	1137	912
555	1138	909
556	1139	906
557	1140	903
558	1141	900
559	1142	897
560	1142	894
561	1143	891
562	1144	888
563	1145	885
564	1146	882
565	1146	879
566	1147	876
567	1148	873
568	1149	870
569	1149	867
570	1150	864
571	1159	867
572	1163	867
573	1164	863
574	1164	861
575	1165	858
576	1167	855
577	1167	852
578	1168	849
579	1169	846
580	1170	843
581	1170	841
582	1171	838
583	1172	835
584	1173	832
585	1173	829
586	1174	826
587	1175	823
588	1176	820
589	1176	817
590	1177	814
591	1178	812
592	1178	809
593	1179	806
594	1180	803
595	1184	802
596	1193	805
597	1193	802
598	1194	799
599	1195	796
600	1200	797
601	1208	799
602	1209	796
603	1210	793
604	1213	792
605	1224	795
606	1224	793
607	1225	790
608	1226	787
609	1227	784
610	1228	781
611	1228	779
612	1229	776
613	1230	773
614	1231	770
615	1231	767
616	1232	765
617	1233	762
618	1233	759
619	1234	756
620	1235	753
621	1236	751
622	1236	748
623	1237	745
624	1238	743
625	1239	740
626	1239	737
627	1241	735
628	1241	732
629	1242	729
630	1243	727
631	1243	724
632	1244	721
633	1245	718
634	1246	716
635	1246	713
636	1247	710
637	1248	708
638	1248	705
639	1249	702
640	1250	700
641	1251	697
642	1251	694
643	1252	692
644	1253	689
645	1253	687
646	1254	684
647	1255	681
648	1268	686
649	1270	683
650	1271	681
651	1278	682
652	1283	682
653	1284	679
654	1285	676
655	1286	674
656	1287	671
657	1288	669
658	1288	666
659	1289	664
660	1290	661
661	1291	659
662	1292	656
663	1292	654
664	1293	651
665	1294	649
666	1295	646
667	1296	644
668	1296	641
669	1297	639
670	1298	636
671	1299	634
672	1300	631
673	1301	629
674	1302	627
675	1303	624
676	1304	622
677	1305	619
678	1306	617
679	1306	615
680	1307	612
681	1308	610
682	1309	607
683	1310	605
684	1311	603
685	1312	600
686	1313	598
687	1313	595
688	1314	593
689	1315	591
690	1316	588
691	1317	586
692	1318	584
693	1319	581
694	1320	579
695	1320	576
696	1321	574
697	1322	572
698	1322	569
699	1323	567
700	1324	565
701	1325	562
702	1326	560
703	1327	557
704	1327	555
705	1328	553
706	1329	550
707	1330	548
708	1331	546
709	1332	544
710	1333	541
711	1333	539
712	1334	537
713	1335	534
714	1336	532
715	1336	530
716	1337	527
717	1338	525
718	1339	523
719	1340	521
720	1341	518
721	1341	516
722	1342	514
723	1343	512
724	1344	509
725	1344	507
726	1347	505
727	1358	507
728	1359	505
729	1360	503
730	1361	500
731	1362	498
732	1363	496
733	1363	494
734	1365	492
735	1365	489
736	1366	487
737	1367	485
738	1368	483
739	1369	481
740	1369	478
741	1370	476
742	1371	474
743	1372	472
744	1372	469
745	1373	467
746	1374	465
747	1375	463
748	1377	461
749	1377	459
750	1378	457
751	1379	454
752	1380	452
753	1381	450
754	1382	448
755	1382	446
756	1383	444
757	1384	442
758	1385	439
759	1386	437
760	1387	435
761	1387	433
762	1388	431
763	1389	429
764	1390	427
765	1391	424
766	1402	425
767	1404	424
768	1405	422
769	1406	420
770	1407	418
771	1408	415
772	1408	413
773	1409	411
774	1410	409
775	1411	407
776	1411	405
777	1412	403
778	1413	400
779	1414	398
780	1414	396
781	1415	394
782	1416	392
783	1416	390
784	1417	388
785	1418	386
786	1419	384
787	1420	382
788	1421	380
789	1422	378
790	1423	376
791	1424	374
792	1424	371
793	1425	369
794	1426	367
795	1427	365
796	1427	363
797	1428	361
798	1429	359
799	1430	357
800	1430	355
801	1431	353
802	1432	351
803	1433	349
804	1434	347
805	1434	345
806	1435	343
807	1445	343
808	1449	342
809	1450	340
810	1451	338
811	1452	336
812	1453	334
813	1454	332
814	1454	330
815	1455	328
816	1456	326
817	1457	324
818	1458	322
819	1459	320
820	1459	318
821	1460	316
822	1461	314
823	1462	312
824	1462	310
825	1463	308
826	1464	306
827	1465	304
828	1476	304
829	1479	302
830	1480	301
831	1481	299
832	1482	297
833	1483	295
834	1484	293
835	1484	291
836	1485	289
837	1486	287
838	1486	285
839	1487	283
840	1488	281
841	1489	279
842	1489	277
843	1490	275
844	1491	273
845	1492	271
846	1493	269
847	1494	267
848	1495	265
849	1496	264
850	1497	262
851	1498	260
852	1498	258
853	1499	256
854	1500	254
855	1501	252
856	1502	250
857	1502	248
858	1503	246
859	1504	244
860	1505	243
861	1506	241
862	1506	239
863	1507	237
864	1508	235
865	1509	233
866	1510	231
867	1511	229
868	1512	227
869	1512	226
870	1513	224
871	1514	222
872	1514	220
873	1515	218
874	1516	216
875	1517	214
876	1518	212
877	1518	211
878	1519	209
879	1520	207
880	1521	205
881	1522	203
882	1523	201
883	1523	199
884	1525	198
885	1534	197
886	1538	196
